check1,check2,check4,check3
"Miller, Anderson and Jefferson",toddknapp@example.net,9131,4378
"Short, Baker and Smith",singhkathleen@example.com,5429,617
"Knight, Church and West",sandersmark@example.com,9241,7939
"Mills, Fisher and Chavez",mark85@example.com,9948,7300
Cruz-Zhang,vcooley@example.org,9076,8164
"Elliott, Johnson and Carney",jacksonandrew@example.org,5174,7011
Ryan-Hunt,vincent31@example.org,1655,6957
"Parsons, Foster and Peterson",kristinelynch@example.com,2032,1535
"Blackburn, Hatfield and Jones",lauraleon@example.net,7211,9648
Wong-West,jacksonamanda@example.org,9711,321
Martinez PLC,cyoder@example.com,9157,4193
