check1,check2,check4,check3
Lee-Hood,wclark@example.com,1431,4018
Goodman Inc,mirandastewart@example.com,4498,8489
Lynch-Hicks,jtaylor@example.org,8751,6682
"Benson, Kelly and Garcia",victoriaevans@example.net,8929,8397
"Obrien, Patel and Johns",tmitchell@example.com,7042,5982
Simmons Group,paulstout@example.com,7977,5980
Merritt PLC,dcabrera@example.net,833,3433
Garcia-Jones,wendy77@example.org,8492,7570
"Schmidt, Obrien and Sanders",heatherwaters@example.net,6607,3126
"Andrews, Conrad and Luna",fisheralexander@example.org,6985,917
"Fletcher, Olson and Miller",perezsandra@example.org,4464,5924
